StargazeAddress,CosmosAddress,Balance,IsStaking
stars183sqv5w0dut265x397j7srgqcyu0dg0tqd44sh,cosmos183sqv5w0dut265x397j7srgqcyu0dg0t53zgmx,0.013264,No
stars1a2k0qxuv5yf2ftk8wn0vumu38c2fq3nsp6ryrc,cosmos1a2k0qxuv5yf2ftk8wn0vumu38c2fq3ns4x5egf,0.000224,No
stars1l9dk43ssyprv0wlk4qphlwdgshq4k4xu39jt237r4e3fq73a2q2qn2uere,cosmos1l9dk43ssyprv0wlk4qphlwdgshq4k4xu39jt237r4e3fq73a2q2q9dc7vp,0,No
stars1s5wz87wja7xshu40cfys05g8c3xxpxhfjxwvag,cosmos1s5wz87wja7xshu40cfys05g8c3xxpxhfx6e3ke,0.008267,No
stars1djc9vymte788k3ydevl7vqpz2n6egnta58glta,cosmos1djc9vymte788k3ydevl7vqpz2n6egntaqmlzqv,0,No
stars15w9mlmqg5d07e8mx74ugkh5ajzslsyymjqmw0j,cosmos15w9mlmqg5d07e8mx74ugkh5ajzslsyymxuvnyr,1.068799,Yes
stars1uk8s7k8fyahstef9s9v9xy2r0sfrrzeh5mh6jl,cosmos1uk8s7k8fyahstef9s9v9xy2r0sfrrzehq8q8ew,0,No
stars109pxdd9s4lvedlmn3d5wwsv6csfhh4h62jj0ew,cosmos109pxdd9s4lvedlmn3d5wwsv6csfhh4h67w9jjl,0,No
stars1uf4txvfnchhkazqakpacm8v2uzjdua9e4var8j,cosmos1uf4txvfnchhkazqakpacm8v2uzjdua9eps27vr,0.226854,No
stars1fu2dqywa3mntry706khytmf57tdhgj6csget25,cosmos1fu2dqywa3mntry706khytmf57tdhgj6cy5wkp9,0,No
stars1khzuhuhv02vaturh9x9lz4jach824x9umcgghl,cosmos1khzuhuhv02vaturh9x9lz4jach824x9u0yl4uw,0.012751,No
stars1e3sl7s39nsdufkxhvgs75j3d5pg9hh95srhv6x,cosmos1e3sl7s39nsdufkxhvgs75j3d5pg9hh95ylq33h,0,No
stars1zst0u0vwp3vfpdzapmxfm2kltt6xp4ptnvdwn8,cosmos1zst0u0vwp3vfpdzapmxfm2kltt6xp4pt8s6nck,0,No
stars1vvdkcn393ddyd47v9g3qv6mvne59d0ykzy9wre3ga0c58dtdg4ksm776jg,cosmos1vvdkcn393ddyd47v9g3qv6mvne59d0ykzy9wre3ga0c58dtdg4ksde6aas,0,No
stars1va2xq5d9lj5v8aakxawgne3chn9phzwlrfr6rk,cosmos1va2xq5d9lj5v8aakxawgne3chn9phzwlh458g8,0.041054,Yes
stars1r0a8ygvnjfaegy4n5z9325e0ew9uy2s7rn4vt7qf4ltv49fj4tnsk6pvtv,cosmos1r0a8ygvnjfaegy4n5z9325e0ew9uy2s7rn4vt7qf4ltv49fj4tnsqa9ty5,0,No
stars1ntwr58rhpd9lzp3uk4w6mkkk2t9lg3p86gags0,cosmos1ntwr58rhpd9lzp3uk4w6mkkk2t9lg3p8w524m7,1.53394,Yes
stars1w4nrdg2t8wtlwf89fmgrh68pza8vv5yw0pmqack00vsk5c54609qzapx4s,cosmos1w4nrdg2t8wtlwf89fmgrh68pza8vv5yw0pmqack00vsk5c54609q569p6g,0,No
stars1kcp6g0hv379dqlp6s60e5m0u743f6epuy8hmz9,cosmos1kcp6g0hv379dqlp6s60e5m0u743f6epusmqxf5,0.142138,Yes
stars1y5eqrhudwkc2uquaz3v429zuqsw4nhjmwnd4cx,cosmos1y5eqrhudwkc2uquaz3v429zuqsw4nhjm606gnh,0.813194,Yes
stars1xajjqrvvkfv52gy2fhg30ltq789n9kz38sm8wt,cosmos1xajjqrvvkfv52gy2fhg30ltq789n9kz3nvv696,0.541884,Yes
stars1gzaufqqdg53e6un5nwz7vg0qyf2t04ke67gwhm,cosmos1gzaufqqdg53e6un5nwz7vg0qyf2t04kewzlnu2,0,No
stars1ux2cshgv2g8a0lu9c4gepcgmqx025yuyy0hx03,cosmos1ux2cshgv2g8a0lu9c4gepcgmqx025yuysnqmyq,0.011722,Yes
stars1zge9wp6e2ty6u4h75qqdfwmhgat7wtxt6pdlz7,cosmos1zge9wp6e2ty6u4h75qqdfwmhgat7wtxtwa6zf0,0,Yes
stars12r3q66jllecd6gegemtlv0dvueqcnnkvkgpqhyp3avpscasgz4fqnn2u2l,cosmos12r3q66jllecd6gegemtlv0dvueqcnnkvkgpqhyp3avpscasgz4fq95wm98,0,No
stars1c4fvdv75rls4yhat8wtn82mvds5lfjvpgw9qw8,cosmos1c4fvdv75rls4yhat8wtn82mvds5lfjvpujja9k,0.009327,No
stars1zxp8vsjazw944pyccr7rhvxdatl7dj3keswhfy,cosmos1zxp8vsjazw944pyccr7rhvxdatl7dj3kdve2z4,0.002738,No
stars1w9ee57gnduzm4l9h6xwn9tee9pyh8wlrplj769,cosmos1w9ee57gnduzm4l9h6xwn9tee9pyh8wlr4r9r35,0.044294,Yes
stars1xcv2a570fu2c5303tmgzl9gw8zmvtrlkxzs6wg,cosmos1xcv2a570fu2c5303tmgzl9gw8zmvtrlkj7889e,0.270527,Yes
stars185yv4ka7ymn3f6meq7k3g42nxrgfeykjkua59c,cosmos185yv4ka7ymn3f6meq7k3g42nxrgfeykjzq2fwf,29.601207,Yes
stars12kct4cfuwh7vevec7c4y9slmee949qrjp5ds2x,cosmos12kct4cfuwh7vevec7c4y9slmee949qrj4g6dph,0.03001,Yes
stars1ra3la2tplny3f7mpruemqy4ah2gfrlw4lhzvpl,cosmos1ra3la2tplny3f7mpruemqy4ah2gfrlw4tt432w,0.857729,Yes
stars10jcd94dw9w2txv3f8xgd3cslz5s3cqu07ttjju,cosmos10jcd94dw9w2txv3f8xgd3cslz5s3cqu02hu0ed,0.025211,Yes
stars1w6dpa2l2fc3v2rc9dpuhqg4lt6ykvlqg5np6ps,cosmos1w6dpa2l2fc3v2rc9dpuhqg4lt6ykvlqgq0k82p,1.235064,Yes
stars1drm7xxh3l66aa25edw9exupkh4fvlqnzyvr690,cosmos1drm7xxh3l66aa25edw9exupkh4fvlqnzss58w7,0.039518,Yes
stars15ytaqcga34r3mzj733dc8e94f35km2fma9dd8j,cosmos15ytaqcga34r3mzj733dc8e94f35km2fmfe6svr,1.48765,Yes
stars167syc9r6edpwclsgd2zlrgmkgaradvf4rcf0j7,cosmos167syc9r6edpwclsgd2zlrgmkgaradvf4hy7je0,0.013265,No
stars1fu2p20fw8fhm6cclzqal6t5jd9q4yx49075szy,cosmos1fu2p20fw8fhm6cclzqal6t5jd9q4yx49mzrdf4,0.005784,Yes
stars1yucffj4d7ahgnc4trvjj32sgsw02d86uul0m29,cosmos1yucffj4d7ahgnc4trvjj32sgsw02d86ugrcxp5,0.007839,No
stars1fxzvu7huq4h7vpe6uzkhyz7nyrynesml3hqpcs,cosmos1fxzvu7huq4h7vpe6uzkhyz7nyrynesml9thunp,0.26575,Yes
stars1h7teyuhpl7mecaqrw427qjqzkzmz58e2hnfgcn,cosmos1h7teyuhpl7mecaqrw427qjqzkzmz58e2r074nz,0.03598,Yes
stars155ut980vmwhdpcrjda3372yq4unwnsgu0ehse62nmzskze4p3s7qzt5v88,cosmos155ut980vmwhdpcrjda3372yq4unwnsgu0ehse62nmzskze4p3s7q5vstgl,0,No
stars195sdlnj6658yu869pj3m80e2apqwzrj0z9dpr9,cosmos195sdlnj6658yu869pj3m80e2apqwzrj0ke6ug5,0.105966,Yes
stars1dq6tafrsajfdk8w9plut4nmkhuxlkj68rnngydhf73v85m36lhqqtjuwyw,cosmos1dq6tafrsajfdk8w9plut4nmkhuxlkj68rnngydhf73v85m36lhqqa4cftk,0,No
stars1e4pzleql4gm6hngv6dfcu5hla0ettrrxm9zlne,cosmos1e4pzleql4gm6hngv6dfcu5hla0ettrrx0e4zcg,0,Yes
stars15rcm7vkxgck8xmg7nrmml4ev7yq0e9pf03x698,cosmos15rcm7vkxgck8xmg7nrmml4ev7yq0e9pfmd38wk,0,No
stars1zq3kfatr9fy0fdp6slz5hfkfg82l6q4sdzlykd,cosmos1zq3kfatr9fy0fdp6slz5hfkfg82l6q4se7geau,0.182273,Yes
stars1sq0vscugf2crapn6z492fl7mrfr449nxtr6rl6,cosmos1sq0vscugf2crapn6z492fl7mrfr449nxlld75t,2.094083,Yes
stars1glga4r56mnvmrdj3q78qw75dkltg02mguaw2ez,cosmos1glga4r56mnvmrdj3q78qw75dkltg02mggpehjn,0,No
stars1tz3pn9pu0adzqsnd4ass0ep2a0s092d5h5pu6x,cosmos1tz3pn9pu0adzqsnd4ass0ep2a0s092d5rgkp3h,0,No
stars1f3cqss2xwav7wxu993cfj4lldtvqs33lwudlqs,cosmos1f3cqss2xwav7wxu993cfj4lldtvqs33l6q6ztp,1.269784,Yes
stars1v43hyreqr625g25fjufsl9zft0dm0mevcw9mgh,cosmos1v43hyreqr625g25fjufsl9zft0dm0mevvjjxrx,0.01311,No
stars1kxexcfqxn9ff8kqhzh7857tdpsmw0ajhnfwnl6,cosmos1kxexcfqxn9ff8kqhzh7857tdpsmw0ajh84ew5t,0,Yes
stars1rjjejtnc55e98kmkgzz2d2ns0uqec9s62qgsc3,cosmos1rjjejtnc55e98kmkgzz2d2ns0uqec9s67uldnq,0.012459,No
stars1skdyewagkgt7xdvjz0fcjmref748s0ztp5kru8,cosmos1skdyewagkgt7xdvjz0fcjmref748s0zt4gp7hk,1.110466,Yes
stars1yfw6e88cd84zl67kdnypsws7ek7pq3pe738fuc,cosmos1yfw6e88cd84zl67kdnypsws7ek7pq3pe2ds5hf,0.107687,No
stars1jzg6medqw6ckwespgaz6y4f7amkd3jv0s77tjs,cosmos1jzg6medqw6ckwespgaz6y4f7amkd3jv0yzfkep,0.000002,No
stars1fzlmykn2zhx8kfkja4fu7q6xhv4922hgc2hrz2,cosmos1fzlmykn2zhx8kfkja4fu7q6xhv4922hgvkq7fm,0.018961,Yes
stars1fgqf6a04vryth6sddymdxtsph6pdp8yzltwrl3,cosmos1fgqf6a04vryth6sddymdxtsph6pdp8yzthe75q,0,Yes
stars1n0sn0detezkqu0tzs8xuhkp0ajr76uc8u48uw4,cosmos1n0sn0detezkqu0tzs8xuhkp0ajr76uc8gfsp9y,0.185515,No
stars1ulq7fsg6kj0yhnzf744l4amn64qrg7u6danuwq,cosmos1ulq7fsg6kj0yhnzf744l4amn64qrg7u6epyp93,3.38358,Yes
stars107duet5hlzg48v8vxv6uq9k56rgua28f20ru2n,cosmos107duet5hlzg48v8vxv6uq9k56rgua28f7n5ppz,0.079537,Yes
stars1xs5qu2phffkgyge0dfj8cparwa9wun26tn8n59,cosmos1xs5qu2phffkgyge0dfj8cparwa9wun26l0swl5,0.421764,Yes
stars1zf3yafgev8ggdu598pccyefnc0h6jq0qhpcajp,cosmos1zf3yafgev8ggdu598pccyefnc0h6jq0qra0qes,0.495471,Yes
stars1gmcu4sgmech4jkk6c0lhqhljsec4syhepyfcvj,cosmos1gmcu4sgmech4jkk6c0lhqhljsec4syhe4c798r,0,No
stars1huw5h0exqu5mlahqumetlvsyzr4p4a7k9e7n5x,cosmos1huw5h0exqu5mlahqumetlvsyzr4p4a7k39fwlh,0,No
stars14c2dcjumq02n2w6njz0yek633pckm3slgznk49,cosmos14c2dcjumq02n2w6njz0yek633pckm3slu7yt75,0.114676,Yes
stars1wv9zw2j23gw72tuf5hq03spe0xtrrkl79gf8ak,cosmos1wv9zw2j23gw72tuf5hq03spe0xtrrkl73576k8,0.089591,Yes
